,BMI,,,FWD,,,EGGF,,,EGGP,,,TOD,,,STAI,,,LM,,,LFP,,,HFP,,,RAT,,,STDEGG,,,
areasNames,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,
'L_5mv_ROI',"8,252","-0,110","0,913","1,764","1,697","0,095","6,963","-0,664","0,509","8,039","0,037","0,970","7,627","0,503","0,617","7,745","0,007","0,994","5,378","-0,470","0,640","5,421","1,088","0,282","6,169","-0,470","0,640","1,404","2,047","0,046","5,681","0,966","0,338","30,000"
'L_23c_ROI',"2,796","1,074","0,287","1,610","1,227","0,225","5,339","-0,811","0,421","8,002","0,029","0,977","1,758","-1,362","0,178","7,689","0,036","0,971","6,998","-0,517","0,607","5,626","0,750","0,457","6,399","-0,517","0,607","0,073","3,098","0,00319","8,087","-0,140","0,889","31,000"
'L_5L_ROI',"3,157","1,057","0,295","0,594","1,610","0,113","5,072","-0,600","0,551","4,531","-0,962","0,340","6,448","-0,337","0,737","7,649","0,198","0,843","8,182","-0,288","0,774","7,053","0,152","0,880","7,109","-0,288","0,774","4,964","0,902","0,371","3,591","0,954","0,344","32,000"
'L_24dd_ROI',"8,022","-0,035","0,972","1,866","1,331","0,188","3,425","-0,989","0,327","7,966","0,849","0,399","3,727","-0,984","0,329","6,919","0,394","0,695","6,890","-0,544","0,589","7,187","-0,118","0,907","7,208","-0,544","0,589","5,132","0,744","0,461","6,425","0,356","0,723","33,000"
'L_24dv_ROI',"4,091","1,322","0,191","8,207","-0,034","0,973","6,542","-0,738","0,463","7,773","0,234","0,816","8,330","-0,869","0,388","8,997","0,427","0,671","6,189","0,307","0,760","6,665","-0,361","0,720","6,814","0,307","0,760","7,088","-0,239","0,812","6,182","0,523","0,603","34,000"
'L_7AL_ROI',"7,103","0,291","0,772","6,767","0,250","0,804","6,196","-0,581","0,563","6,046","-0,701","0,486","4,462","-0,801","0,426","7,571","0,375","0,709","7,563","-0,405","0,687","3,425","-1,341","0,186","2,208","-0,405","0,687","1,081","2,053","0,045","2,946","1,621","0,110","35,000"
'L_SCEF_ROI',"0,989","1,677","0,099","9,231","-0,581","0,564","1,131","-1,728","0,089","7,162","0,754","0,454","0,625","-2,042","0,046","3,560","1,162","0,250","8,444","-0,755","0,454","7,234","-0,044","0,965","7,040","-0,755","0,454","3,675","1,321","0,193","7,641","0,153","0,879","36,000"
'L_6ma_ROI',"2,828","1,264","0,211","5,634","1,095","0,278","7,151","0,349","0,728","7,780","0,250","0,804","7,283","0,484","0,630","6,827","-0,404","0,688","7,396","0,469","0,641","7,211","-0,026","0,979","7,072","0,469","0,641","0,809","1,928","0,060","1,744","-1,454","0,151","37,000"
'L_7Am_ROI',"7,365","0,239","0,812","3,371","1,715","0,091","1,075","-1,990","0,051","7,871","-0,078","0,938","9,155","0,508","0,613","4,793","-1,232","0,223","5,185","1,344","0,185","6,061","0,738","0,464","6,440","1,344","0,185","4,334","1,125","0,266","3,883","1,004","0,319","38,000"
'L_7PL_ROI',"4,810","0,886","0,379","3,831","0,979","0,332","1,763","-1,736","0,088","5,534","1,597","0,115","4,153","-0,908","0,368","7,727","0,080","0,937","7,256","-0,018","0,986","6,483","-0,469","0,641","6,234","-0,018","0,986","2,322","1,620","0,112","7,532","0,317","0,753","39,000"
'L_7PC_ROI',"4,648","0,728","0,469","3,631","0,783","0,437","4,969","-0,776","0,441","7,314","0,469","0,641","6,091","-0,345","0,731","5,333","0,794","0,431","2,196","-3,140","0,003","3,649","-1,356","0,181","1,804","-3,140","0,003","1,134","1,972","0,054","5,351","0,934","0,354","40,000"
'L_VIP_ROI',"1,273","1,632","0,108","2,398","1,072","0,288","4,639","-0,861","0,393","8,214","0,109","0,913","6,303","-0,328","0,744","5,376","0,990","0,326","7,050","0,133","0,895","5,285","-0,945","0,349","4,523","0,133","0,895","0,220","2,771","0,00783","3,004","1,380","0,173","41,000"
'L_MIP_ROI',"7,445","0,136","0,892","2,269","1,359","0,179","4,860","-0,671","0,505","6,914","1,319","0,192","4,675","-0,888","0,378","7,656","0,120","0,905","7,372","-0,036","0,971","7,198","-0,057","0,955","7,084","-0,036","0,971","3,603","1,647","0,106","7,751","-0,455","0,651","42,000"
'L_1_ROI',"9,468","-1,007","0,318","1,875","1,337","0,186","8,490","0,127","0,899","8,070","0,231","0,818","3,603","-0,790","0,433","6,900","-1,271","0,209","6,476","-1,006","0,319","5,700","0,893","0,376","7,021","-1,006","0,319","0,062","3,628","0,00067","6,175","0,245","0,807","43,000"
'L_2_ROI',"8,041","-0,188","0,851","3,515","0,789","0,433","10,487","1,182","0,242","8,039","0,210","0,834","4,116","-1,061","0,293","8,591","-0,644","0,522","4,447","-1,237","0,222","6,978","-0,408","0,685","6,314","-1,237","0,222","0,432","2,637","0,011","5,672","0,728","0,469","44,000"
'L_3a_ROI',"5,410","0,840","0,404","3,379","0,839","0,404","19,549","1,742","0,086","7,616","-0,192","0,849","0,751","-1,875","0,066","5,849","-0,972","0,335","10,160","-0,672","0,505","5,775","-0,860","0,394","5,523","-0,672","0,505","5,093","1,306","0,198","10,418","-0,267","0,791","45,000"
'L_6d_ROI',"4,897","-1,268","0,210","7,753","0,355","0,724","6,781","-0,280","0,781","5,890","1,030","0,307","7,861","-0,129","0,897","6,836","-0,568","0,572","3,017","-1,158","0,252","6,995","-0,207","0,837","6,994","-1,158","0,252","2,235","1,769","0,083","8,000","-0,050","0,960","46,000"
'L_6mp_ROI',"4,733","0,631","0,530","4,934","0,644","0,522","7,984","0,495","0,622","6,478","0,889","0,377","0,980","-1,888","0,064","4,065","-1,055","0,296","7,555","0,295","0,769","5,609","-0,716","0,478","5,553","0,295","0,769","0,786","2,239","0,030","6,931","0,308","0,759","47,000"
'L_6v_ROI',"6,784","0,372","0,711","7,901","-0,234","0,816","6,080","-0,411","0,683","8,641","0,505","0,615","3,347","-0,930","0,356","8,429","-0,132","0,895","6,993","-0,222","0,825","6,507","-0,527","0,600","7,112","-0,222","0,825","0,906","2,148","0,037","8,148","-0,085","0,932","48,000"
'L_p24pr_ROI',"2,984","1,027","0,308","1,424","1,394","0,168","3,874","-1,091","0,280","7,751","-0,079","0,937","2,027","-1,483","0,143","6,623","0,412","0,682","6,806","0,132","0,896","6,734","0,333","0,740","6,051","0,132","0,896","0,480","2,707","0,009","7,150","0,219","0,827","49,000"
'L_p32pr_ROI',"1,300","1,924","0,059","7,836","-0,309","0,758","7,636","0,133","0,895","5,851","-0,719","0,475","7,612","-0,566","0,574","8,147","0,222","0,825","4,617","-0,883","0,381","4,659","-0,908","0,368","4,335","-0,883","0,381","7,300","-0,096","0,924","6,187","-0,471","0,640","50,000"
'L_8BM_ROI',"4,570","1,243","0,219","2,060","1,090","0,280","0,783","-1,807","0,076","7,736","0,131","0,896","14,672","0,868","0,389","7,807","0,190","0,850","5,551","0,315","0,754","7,262","-0,430","0,669","7,575","0,315","0,754","6,807","1,017","0,314","0,999","1,630","0,108","51,000"
'L_p32_ROI',"4,131","-1,199","0,235","2,196","-1,604","0,114","0,456","-2,311","0,024","6,688","0,250","0,804","7,357","-0,488","0,627","5,840","0,821","0,415","5,313","-0,751","0,456","5,395","-0,760","0,451","7,248","-0,751","0,456","5,785","-1,063","0,293","3,491","1,549","0,127","52,000"
