,BMI,,,FWD,,,EGGF,,,EGGP,,,TOD,,,STAI,,,LM,,,LFP,,,HFP,,,RAT,,,STDEGG,,,
areasNames,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,
'R_52_ROI',"6,848","0,686","0,495","5,796","0,398","0,692","7,883","-0,043","0,966","5,042","-0,879","0,383","4,571","-0,766","0,446","3,128","1,318","0,193","8,688","-0,415","0,680","5,403","0,905","0,370","5,411","-0,415","0,680","3,329","1,732","0,089","9,746","-0,417","0,678","175,000"
'R_RI_ROI',"9,001","-0,522","0,604","5,348","0,725","0,471","7,922","0,034","0,973","5,611","1,041","0,302","7,929","0,053","0,958","5,945","-0,886","0,379","7,187","-0,360","0,720","2,170","1,394","0,170","2,051","-0,360","0,720","1,982","1,566","0,124","4,251","-1,359","0,179","176,000"
'R_PFcm_ROI',"5,791","0,441","0,661","5,586","0,559","0,578","7,768","-0,056","0,956","7,546","0,408","0,685","8,028","0,216","0,830","7,193","-0,293","0,771","7,242","-0,063","0,950","6,416","0,481","0,633","6,617","-0,063","0,950","0,512","2,137","0,038","8,241","-0,538","0,593","177,000"
'R_PoI2_ROI',"7,969","-0,599","0,552","2,326","1,224","0,226","16,859","0,893","0,375","3,639","2,095","0,040","1,134","-1,555","0,125","9,719","-0,711","0,480","2,802","1,532","0,132","7,305","-0,447","0,657","7,344","1,532","0,132","7,593","0,308","0,760","7,698","0,028","0,978","178,000"
'R_TA2_ROI',"6,987","0,233","0,816","1,736","1,408","0,164","8,320","0,811","0,421","7,981","0,326","0,746","8,869","0,673","0,504","3,125","-1,529","0,132","6,443","0,226","0,822","7,229","-0,061","0,952","7,127","0,226","0,822","0,325","2,966","0,00462","8,862","-0,675","0,502","179,000"
'R_FOP4_ROI',"8,217","-0,523","0,603","8,111","-0,027","0,979","0,305","-2,340","0,023","7,007","-0,317","0,752","8,500","0,190","0,850","0,992","1,691","0,096","3,754","0,846","0,402","4,162","0,933","0,355","1,386","0,846","0,402","3,117","1,397","0,169","1,202","1,942","0,057","180,000"
'R_MI_ROI',"7,963","-0,006","0,995","0,091","2,458","0,017","3,986","-0,624","0,535","4,994","-0,746","0,458","5,284","-0,563","0,576","5,235","0,673","0,504","5,334","0,370","0,713","1,522","1,971","0,054","0,813","0,370","0,713","2,239","1,866","0,068","0,602","2,427","0,018","181,000"
'R_FOP1_ROI',"3,820","0,889","0,378","5,185","0,884","0,380","9,504","0,286","0,776","6,497","-0,569","0,571","5,837","-0,781","0,438","6,779","0,346","0,731","5,315","0,440","0,662","4,422","0,890","0,378","2,284","0,440","0,662","3,384","1,623","0,111","8,031","-0,039","0,969","182,000"
'R_FOP3_ROI',"7,917","-0,320","0,750","0,854","1,814","0,075","8,977","0,131","0,896","5,259","-1,116","0,269","10,110","0,427","0,671","3,418","1,215","0,229","6,697","0,334","0,739","1,440","1,942","0,058","1,895","0,334","0,739","8,453","0,642","0,524","4,664","0,645","0,522","183,000"
'R_FOP2_ROI',"5,321","-1,094","0,278","2,205","1,276","0,207","12,032","1,125","0,265","7,821","0,530","0,598","3,094","-1,054","0,296","7,379","0,208","0,836","3,705","0,856","0,396","1,023","1,929","0,059","1,654","0,856","0,396","7,120","0,342","0,734","15,304","-1,187","0,240","184,000"
'R_PFt_ROI',"8,522","-0,119","0,905","2,592","1,125","0,265","6,465","-0,247","0,806","7,261","-0,201","0,842","2,250","1,813","0,075","8,661","-0,459","0,648","4,588","0,521","0,605","7,077","0,135","0,893","6,273","0,521","0,605","4,016","1,183","0,242","6,267","-1,370","0,176","185,000"
'R_PreS_ROI',"7,672","0,200","0,842","1,762","1,822","0,073","5,900","-0,479","0,633","5,342","-0,653","0,516","8,546","0,219","0,828","7,160","0,239","0,812","7,326","-0,672","0,505","6,924","-0,326","0,746","7,219","-0,672","0,505","6,816","0,536","0,595","3,920","0,644","0,522","186,000"
'R_ProS_ROI',"5,891","0,833","0,408","7,342","0,095","0,925","5,341","-0,317","0,752","7,051","-0,286","0,776","7,935","0,000","1,000","2,366","1,438","0,156","8,516","-0,869","0,389","5,027","-1,041","0,303","5,835","-0,869","0,389","7,545","0,676","0,502","4,844","0,364","0,717","187,000"
'R_STGa_ROI',"7,886","0,190","0,850","7,588","0,166","0,869","7,896","-0,041","0,967","2,483","1,541","0,128","7,946","-0,023","0,982","5,369","-0,767","0,446","6,924","-0,371","0,713","5,312","-0,756","0,453","6,593","-0,371","0,713","1,836","1,826","0,074","7,795","0,145","0,885","188,000"
'R_PBelt_ROI',"7,110","0,491","0,625","1,091","1,662","0,102","6,563","-0,219","0,828","4,465","-0,848","0,400","6,025","-0,517","0,607","4,202","1,146","0,256","7,185","0,036","0,971","6,506","-0,524","0,602","6,851","0,036","0,971","3,264","1,367","0,178","4,852","0,556","0,580","189,000"
'R_A5_ROI',"7,161","-0,937","0,353","3,264","1,051","0,297","2,345","-1,892","0,063","8,027","0,062","0,951","1,272","-1,868","0,067","7,489","0,311","0,757","7,200","-0,170","0,865","5,766","0,724","0,473","6,510","-0,170","0,865","1,210","1,699","0,096","3,576","1,166","0,248","190,000"
'R_STSda_ROI',"5,230","-0,940","0,351","5,087","0,965","0,339","0,186","-2,510","0,015","5,587","-0,508","0,613","3,404","-1,122","0,266","3,324","1,223","0,226","6,936","0,327","0,745","6,675","0,384","0,703","6,017","0,327","0,745","6,473","0,454","0,652","0,177","2,726","0,008","191,000"
'R_STSdp_ROI',"5,239","0,658","0,513","4,211","1,152","0,254","1,919","-1,476","0,145","2,351","1,723","0,090","2,380","-1,860","0,068","4,440","0,660","0,512","7,216","-0,002","0,999","7,135","0,057","0,955","5,747","-0,002","0,999","3,920","1,152","0,255","8,408","0,395","0,694","192,000"
'R_STSvp_ROI',"6,513","0,568","0,572","3,671","1,177","0,244","3,507","-0,960","0,341","7,690","-0,237","0,813","2,263","-1,768","0,082","6,658","0,357","0,722","5,518","0,460","0,647","5,939","0,540","0,592","3,871","0,460","0,647","5,627","0,850","0,399","6,618","0,490","0,626","193,000"
'R_TE1a_ROI',"8,584","0,520","0,605","8,068","-0,157","0,876","5,795","-0,943","0,350","6,788","-0,441","0,661","0,614","2,149","0,036","7,845","-0,052","0,959","6,981","-0,103","0,918","0,243","2,871","0,006","0,353","-0,103","0,918","3,374","1,379","0,174","6,025","-0,733","0,466","194,000"
'R_TE1p_ROI',"3,880","0,967","0,337","3,854","1,135","0,261","3,851","-0,761","0,450","2,831","-1,438","0,156","3,209","1,794","0,078","2,762","1,003","0,320","4,957","0,702","0,486","6,193","0,404","0,688","2,941","0,702","0,486","6,201","0,923","0,361","6,373","0,509","0,613","195,000"
'R_TF_ROI',"8,077","-0,055","0,956","6,167","0,568","0,572","5,235","-0,767","0,446","5,429","-0,711","0,480","2,201","-1,519","0,134","1,162","2,371","0,021","7,204","0,066","0,948","3,368","1,321","0,192","2,656","0,066","0,948","7,158","0,119","0,906","1,988","1,357","0,180","196,000"
'R_PH_ROI',"7,723","0,071","0,944","3,645","0,722","0,473","4,116","-0,574","0,568","5,803","-0,472","0,639","8,272","0,506","0,614","5,953","0,386","0,701","6,533","0,150","0,882","7,173","-0,045","0,964","7,134","0,150","0,882","1,502","1,875","0,067","7,723","0,019","0,985","197,000"
'R_TPOJ1_ROI',"1,912","1,606","0,113","1,203","1,998","0,050","0,879","-2,134","0,037","8,177","0,052","0,959","8,161","0,455","0,650","7,739","0,004","0,997","5,505","1,062","0,293","7,191","-0,024","0,981","7,219","1,062","0,293","2,755","1,691","0,097","3,461","1,006","0,318","198,000"
'R_TPOJ2_ROI',"0,390","-2,626","0,011","5,018","1,111","0,271","6,592","-0,667","0,507","7,933","0,138","0,890","7,741","-0,485","0,629","7,246","-0,231","0,819","5,572","0,576","0,568","4,754","0,980","0,332","4,772","0,576","0,568","6,214","0,625","0,535","3,253","1,503","0,138","199,000"
'R_TPOJ3_ROI',"8,541","-0,234","0,816","1,436","1,474","0,146","3,079","-1,021","0,311","7,495","-0,316","0,753","7,238","-0,694","0,490","6,271","-0,788","0,434","8,039","-0,561","0,577","4,238","1,101","0,276","5,196","-0,561","0,577","3,750","1,584","0,120","6,750","0,217","0,829","200,000"
'R_DVT_ROI',"1,259","2,031","0,047","2,740","1,222","0,226","5,981","-0,389","0,699","6,069","-0,544","0,589","3,268","-1,328","0,189","6,523","0,450","0,654","7,289","-0,896","0,375","3,310","-1,781","0,081","2,891","-0,896","0,375","7,204","-0,017","0,986","6,531","0,314","0,755","201,000"
'R_PGp_ROI',"7,103","-0,827","0,411","3,861","0,726","0,471","6,618","-0,329","0,743","5,585","-0,412","0,682","6,464","0,482","0,632","3,237","-1,479","0,145","6,910","-0,136","0,892","6,788","0,513","0,610","7,195","-0,136","0,892","5,761","1,167","0,249","9,750","-0,742","0,461","202,000"
'R_IP0_ROI',"7,708","-0,139","0,890","0,598","2,447","0,017","6,403","-0,456","0,650","6,104","0,819","0,416","8,166","1,032","0,306","6,875","-0,569","0,572","1,631","1,885","0,065","2,711","1,424","0,161","3,788","1,885","0,065","0,354","2,925","0,005","7,157","0,255","0,800","203,000"
'R_PFop_ROI',"8,026","-0,344","0,732","1,435","1,495","0,140","7,726","0,357","0,722","6,625","0,799","0,427","8,210","0,223","0,824","5,046","-0,951","0,345","5,188","-0,858","0,395","4,303","-1,013","0,316","5,791","-0,858","0,395","1,146","2,003","0,051","4,931","1,104","0,274","204,000"
'R_PF_ROI',"7,398","0,255","0,800","6,689","0,552","0,583","6,036","-0,540","0,591","6,544","0,712","0,479","6,716","-0,364","0,717","5,300","-0,834","0,407","7,154","-0,099","0,921","7,175","-0,071","0,944","6,994","-0,099","0,921","2,862","1,387","0,172","7,843","0,051","0,959","205,000"
'R_PGi_ROI',"3,222","-1,513","0,135","2,042","1,340","0,185","3,266","-1,068","0,290","8,461","0,342","0,734","7,840","0,097","0,923","7,642","-0,068","0,946","5,320","0,448","0,656","3,020","1,415","0,163","2,119","0,448","0,656","7,409","0,092","0,927","3,638","1,068","0,290","206,000"
'R_V6A_ROI',"2,244","1,344","0,184","2,972","1,581","0,119","6,726","-0,504","0,616","7,370","-0,260","0,796","4,280","-1,299","0,199","7,670","-0,048","0,962","5,977","-0,742","0,462","6,290","-0,502","0,618","5,347","-0,742","0,462","6,313","0,405","0,687","7,402","0,208","0,836","207,000"
'R_VMV1_ROI',"5,985","0,332","0,741","0,748","1,870","0,066","1,885","-1,067","0,290","4,838","-0,766","0,447","0,973","-1,809","0,075","8,274","-0,462","0,646","7,319","-0,916","0,364","7,149","-0,114","0,909","6,195","-0,916","0,364","5,264","1,380","0,174","3,920","0,584","0,561","208,000"
'R_VMV3_ROI',"8,016","-0,057","0,955","0,610","2,156","0,035","1,728","-1,119","0,268","7,024","-0,254","0,800","9,103","0,222","0,825","8,804","-0,560","0,577","8,026","-0,793","0,431","7,215","0,085","0,932","7,219","-0,793","0,431","7,116","1,507","0,138","13,603","-0,523","0,603","209,000"
'R_V4t_ROI',"8,017","-0,130","0,897","4,057","0,937","0,352","5,452","-0,777","0,440","6,345","0,639","0,525","3,488","1,650","0,104","3,352","-1,118","0,268","1,611","1,772","0,083","6,389","-0,493","0,624","7,010","1,772","0,083","6,989","0,152","0,880","7,025","-0,568","0,572","210,000"
'R_LO3_ROI',"8,837","-0,695","0,490","0,175","2,238","0,029","8,154","0,129","0,898","5,227","-0,720","0,474","8,512","0,223","0,824","7,935","-0,157","0,876","4,795","0,609","0,545","6,908","0,336","0,738","7,128","0,609","0,545","3,281","1,572","0,122","10,758","-0,922","0,360","211,000"
'R_VMV2_ROI',"8,455","-0,161","0,872","4,473","0,678","0,501","2,155","-1,255","0,214","6,107","-0,648","0,520","7,137","-0,360","0,720","7,641","0,256","0,799","7,704","-0,763","0,449","6,144","0,529","0,599","5,991","-0,763","0,449","6,179","0,478","0,634","8,118","-0,047","0,963","212,000"
'R_31pd_ROI',"5,359","0,725","0,471","7,509","0,477","0,635","6,292","-0,671","0,505","7,483","-0,264","0,793","1,917","1,111","0,271","7,766","-0,027","0,979","6,939","0,196","0,846","5,739","0,613","0,543","3,098","0,196","0,846","4,220","1,754","0,086","8,831","0,144","0,886","213,000"
'R_31a_ROI',"8,733","-0,134","0,894","3,645","0,770","0,444","9,087","0,804","0,425","5,304","-0,767","0,446","7,604","2,589","0,012","7,567","-1,331","0,188","2,387","2,016","0,049","7,197","-0,360","0,720","7,248","2,016","0,049","4,093","0,995","0,325","8,327","-0,396","0,694","214,000"
'R_VVC_ROI',"8,045","-0,055","0,956","0,648","2,441","0,018","3,616","-0,724","0,472","8,949","0,566","0,573","8,847","0,187","0,852","7,048","-1,347","0,183","5,763","0,489","0,627","6,714","-0,626","0,534","6,308","0,489","0,627","0,534","3,356","0,002","12,368","-0,460","0,647","215,000"
'R_PoI1_ROI',"8,065","-0,038","0,970","4,685","0,775","0,441","8,339","0,074","0,942","7,516","-0,184","0,855","1,515","-1,238","0,220","1,590","1,682","0,098","5,798","0,244","0,809","5,026","1,054","0,297","5,178","0,244","0,809","6,154","0,728","0,470","6,354","0,301","0,764","216,000"
'R_Ig_ROI',"4,535","-0,928","0,357","1,255","1,774","0,081","10,731","0,837","0,406","7,592","-0,267","0,791","10,536","0,424","0,673","8,769","-0,434","0,666","6,668","1,359","0,180","6,623","0,429","0,670","6,944","1,359","0,180","7,074","1,145","0,258","5,213","0,384","0,702","217,000"
'R_MBelt_ROI',"5,692","0,657","0,514","1,937","1,085","0,282","11,932","0,768","0,445","4,936","-0,779","0,439","5,417","-0,486","0,629","1,209","1,868","0,067","8,401","-0,581","0,564","6,855","0,264","0,793","6,547","-0,581","0,564","5,235","1,052","0,298","13,752","-0,596","0,553","218,000"
'R_LBelt_ROI',"6,087","0,595","0,554","4,168","0,814","0,419","4,927","-1,023","0,311","3,338","-1,302","0,198","6,622","-0,325","0,746","2,504","1,650","0,104","7,732","-0,920","0,362","4,667","0,891","0,377","3,281","-0,920","0,362","2,566","1,723","0,091","2,356","1,762","0,083","219,000"
'R_A4_ROI',"6,418","0,780","0,438","0,519","2,080","0,042","5,645","-0,341","0,734","6,233","-0,424","0,673","5,831","-0,580","0,564","7,040","0,270","0,788","6,114","0,355","0,724","6,949","-0,318","0,751","7,168","0,355","0,724","2,330","1,656","0,104","13,336","-0,594","0,555","220,000"
'R_STSva_ROI',"6,097","-0,418","0,677","1,703","1,600","0,115","0,735","-1,786","0,079","7,389","-0,262","0,794","6,078","-1,033","0,306","5,995","0,602","0,549","4,740","0,677","0,502","0,005","3,632","0,001","0,001","0,677","0,502","7,283","0,069","0,945","7,356","0,585","0,561","221,000"
'R_TE1m_ROI',"2,560","1,309","0,196","3,772","1,020","0,312","6,408","-0,322","0,749","7,148","-0,304","0,763","7,881","-0,060","0,952","7,797","-0,009","0,993","3,260","0,891","0,377","7,044","0,160","0,873","5,973","0,891","0,377","3,671","1,630","0,109","9,499","-0,673","0,504","222,000"
'R_a32pr_ROI',"6,953","0,393","0,696","8,994","-0,404","0,688","0,299","-2,410","0,019","7,261","-0,403","0,688","2,550","-1,303","0,198","6,644","0,486","0,629","5,956","0,391","0,697","4,500","-1,018","0,314","6,515","0,391","0,697","6,879","-0,660","0,512","3,539","1,089","0,280","223,000"
