areasNames,BMI,FWD,EGGF,EGGP,TOD,STAI,LM,LFP,HFP,RAT,STDEGG,areasNames
'L_VIP_ROI',"1,27339407823016","2,39776724982591","4,63902811393472","8,21411298330967","6,30280436747565","5,37600990805483","7,05013427124746","5,28456656430228","4,52271396061127","0,219579936917495","3,00393655324162",A49
'L_MIP_ROI',"7,44534012604754","2,26934296788654","4,8598149441139","6,91409649967924","4,67489466882146","7,65648508683401","7,37200975143721","7,19839834317311","7,08389223592026","3,60273857426463","7,75102766464677",A50
'L_1_ROI',"9,46837721457548","1,87533153246561","8,49036020590409","8,06961846182989","3,6025570991251","6,90031581463163","6,47629746808368","5,69983621216109","7,020965813243","0,062085383959676","6,17488824443968",A51
'L_2_ROI',"8,04125749658376","3,51523846148064","10,4870051253603","8,03919452132485","4,11556400982819","8,59131779970003","4,44673872766504","6,97827069349177","6,31409093190512","0,432185180453421","5,67207691453144",A52
'L_3a_ROI',"5,40996223343152","3,3794658026227","19,5489562924908","7,61598945669517","0,751473634158233","5,84930536880019","10,1603833674539","5,77503349227147","5,52315541828594","5,09294059399534","10,4176251700079",A53
'L_6d_ROI',"4,89692565853434","7,75299553200168","6,78078926052814","5,88990711603076","7,86103364700613","6,83643834472635","3,01671188320902","6,99525858294091","6,99372375307562","2,23450308406755","8,00041886032504",A54
'L_6mp_ROI',"4,73262818049568","4,93430371324651","7,98397506182348","6,47833430456042","0,980449393398782","4,0645496633732","7,55503124577346","5,60916615098072","5,55334797256112","0,785545601547171","6,93066326215882",A55
'L_6v_ROI',"6,78449064981333","7,90112824729708","6,08045682865679","8,64076682839793","3,34729934807","8,42914602113794","6,99335936769197","6,50743840329105","7,11191027687101","0,905559189840865","8,14844435939904",A56
'L_p24pr_ROI',"2,98422320696088","1,42413871715345","3,87361167059678","7,7511173124718","2,02675445963172","6,62301494227199","6,80596570025931","6,73352418842837","6,05052387607346","0,48042202212416","7,14950347512748",A57
'L_p32pr_ROI',"1,3000217788813","7,83584556578173","7,63552290743395","5,8506074688161","7,61206048568128","8,14740807395787","4,61729661410902","4,65933009976126","4,33489609812202","7,29956451349166","6,1873680822907",A60
'L_8BM_ROI',"4,57041949810013","2,06006413113507","0,783202428829803","7,73617602770464","14,6719399041678","7,80701473263392","5,55055777740655","7,2619951060933","7,57477536555051","6,80713735830573","0,99939400450494",A63
'L_p32_ROI',"4,13077005092406","2,19608604596601","0,456338948248815","6,68813267432961","7,35713486438642","5,83956466948927","5,31259954941991","5,39541986487423","7,24829009803996","5,78468763032874","3,49070571464732",A64
'L_10r_ROI',"3,95215962029011","5,78372336423008","5,89849557011701","7,640210521267","7,92575505638906","7,7510367067435","7,29030871071465","6,88680893474714","5,94880623976254","7,99168850693824","3,78945862498188",A65
'L_9m_ROI',"8,01295952899522","7,95959057147398","7,6678957869905","4,07008692655799","3,26652496148202","5,17143880779545","7,607706043766","7,02343837722153","6,18034010924303","2,39693441529851","4,49575993855194",A69
'L_10d_ROI',"4,49208521910231","7,99074997474652","4,58361680992929","3,92118577184024","7,97549381000467","7,9109294912652","9,35731597132816","2,9193044530431","0,789541662085395","7,38450153435368","2,527506929288",A72
